time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220414-165312,,,,,,,,0.0,0.1917,,,,,,,,
20220414-165322,104.44436782108824,650.9260970233299,-16.559532411974942,450.22096628599684,,,,0.0,0.1804,,,,,,,,
20220414-165332,54.887362210820356,652.66004867226,-15.735285074924832,450.22096628599684,,,,0.0,0.1917,,,,,,,,
20220414-165342,54.887362210820356,652.66004867226,-15.735285074924832,450.22096628599684,,,,0.0,0.1804,,,,,,,,
20220414-165352,5.605193857299268e-36,7.174648137343063e-34,6.668835443660377e-31,-1.51732604633088e+23,,,,0.0,0.1917,,,,,,,,
20220414-165402,2.114890509493269e-29,11140397.749841213,1.098421814245651e-31,1.7397316392169855e-27,,,,0.0,0.1917,,,,,,,,
20220414-165412,2.114890509493269e-29,11140397.749841213,1.098421814245651e-31,1.7397316392169855e-27,,,,0.0,0.1917,,,,,,,,
20220414-165422,2.114890509493269e-29,11140397.749841213,1.098421814245651e-31,1.7397316392169855e-27,,,,0.0,0.1804,,,,,,,,
