time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220414-181543,,,,,,,,0.0,0.0789,,,,,,,,
20220414-181553,89.20260796685398,651.793072847795,-6.81161882454262,451.9549179349269,,,,0.0,0.0789,,,,,,,,
20220414-181603,84.60453670977586,652.2265607600275,-12.39061386826279,450.65445419822936,,,,0.0,0.0902,,,,,,,,
20220414-181613,73.87569667116622,651.793072847795,-10.75574296294235,450.65445419822936,-140.94,27.55,68530.76,0.0,0.0902,,,,,,,,
20220414-181623,87.15902310996171,651.793072847795,-7.431506965360768,449.7874783737643,-140.94,27.55,68530.76,0.0,0.1804,,,,,,,,
