time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220420-180617,,,,,,,,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180627,-33.75325974275256,561.9219223262917,408.51659832696896,-24.74103588667731,,,,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180637,-33.75325974275256,561.9219223262917,408.51659832696896,-24.74103588667731,,,,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180647,-33.75325974275256,561.9219223262917,408.51659832696896,-24.74103588667731,24.65,24.67,99623.52,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180657,-27.792793844128028,518.7341116652533,413.31904299113376,-16.73698513116051,24.65,24.67,99623.52,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180707,-56.0624258127973,543.0187570709677,434.0614623288275,-14.45497765928394,24.65,24.67,99623.52,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180717,-56.0624258127973,543.0187570709677,434.0614623288275,-14.45497765928394,24.65,24.67,99621.31,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180727,-38.777077548957095,531.8471494319965,408.1419433532574,-18.984930960641577,24.65,24.67,99621.31,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180737,-55.636679263670885,512.3649202687375,434.64046939334366,-33.08568707893755,24.65,24.67,99621.31,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180747,-55.636679263670885,512.3649202687375,434.64046939334366,-33.08568707893755,24.65,24.67,99621.31,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180757,-24.8125626711726,519.8921257942857,400.6487870356068,-21.164757058045325,24.65,24.67,99621.31,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180807,-35.1156508315853,532.8008114702243,423.94569277348637,-23.95766074414496,24.65,24.67,99621.31,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180817,-35.1156508315853,532.8008114702243,423.94569277348637,-23.95766074414496,24.65,24.63,99614.77,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180827,-33.157213863432844,562.5009293908079,430.6895391437138,-21.130697192006664,24.65,24.63,99614.77,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180837,-38.862228990410586,505.8254259893147,459.57224870107893,-25.354113475373197,24.65,24.63,99614.77,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180847,-38.862228990410586,505.8254259893147,459.57224870107893,-25.354113475373197,24.65,24.64,99620.02,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180858,-39.03252832060389,512.6033784108586,399.21829397826514,-36.08294818491231,24.65,24.64,99620.02,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180908,-25.834356875975573,530.3485295371502,399.01394188746053,-30.46308094667438,24.65,24.64,99620.02,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180918,-25.834356875975573,530.3485295371502,399.01394188746053,-30.46308094667438,24.65,24.65,99616.54,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180928,-30.43242813305369,524.3880423222436,447.6853803225822,-26.171548483944207,24.65,24.65,99616.54,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180938,-37.925584450704264,539.1359536588425,424.0478688188887,-6.314686551434079,24.65,24.65,99616.54,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180948,-37.925584450704264,539.1359536588425,424.0478688188887,-6.314686551434079,24.66,24.67,99622.23,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180958,-58.702060101722964,555.0077730731573,430.8938912345184,-22.28873086096428,24.66,24.67,99622.23,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-181008,-40.56521873962993,538.0460379456053,434.40206809464144,-21.60753531654791,24.66,24.67,99622.23,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-181018,-40.56521873962993,538.0460379456053,434.40206809464144,-21.60753531654791,24.66,24.67,99622.23,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-181028,-31.539372002953314,529.4629659147176,403.0670481824927,-20.04078503148321,24.66,24.67,99622.23,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-181038,-29.240336374414255,550.7843638952181,421.97024185952614,10.476793654845551,24.66,24.67,99622.23,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-181048,-29.240336374414255,550.7843638952181,421.97024185952614,10.476793654845551,24.66,24.66,99620.62,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-181058,-32.81661520304624,541.6904400590283,421.90211502202146,-17.72471769356798,24.66,24.66,99620.62,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-181108,-53.42279152387164,541.8266368906188,426.80673573158856,-4.4413974720214355,24.66,24.66,99620.62,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-181118,-53.42279152387164,541.8266368906188,426.80673573158856,-4.4413974720214355,24.66,24.66,99623.5,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-181128,-53.42279152387164,541.8266368906188,426.80673573158856,-4.4413974720214355,24.66,24.66,99623.5,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-181138,-41.927609828462664,522.9234716352948,428.5778345547442,-16.08984767642596,24.66,24.66,99623.5,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
