time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220414-184847,,,,,,,,0.0,0.1804,,,,,,,,
20220414-184857,,,,,,,,0.0,0.1804,7000.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-184907,76.94108461464566,651.793072847795,-11.481216866116029,451.0879421104619,,,,0.0,0.1917,7000.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-184917,80.17676123017736,651.793072847795,-15.500273065072179,451.0879421104619,-140.94,27.58,68533.04,0.0,0.1917,7000.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-184927,89.03231218937435,652.2265607600275,-15.62629492468659,450.22096628599684,-140.94,27.58,68533.04,0.0,0.1917,7000.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-184937,74.38659821445981,651.793072847795,-12.731211640470974,450.65445419822936,-140.94,27.58,68533.04,0.0,0.1917,7000.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-184947,105.89190679866078,650.9260970233299,-4.468304837246251,451.5214300226944,-140.94,27.56,68494.2,0.0,0.1917,7000.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-184957,37.942612607366755,653.0935365844925,-12.775489111049865,450.65445419822936,-140.94,27.56,68494.2,0.0,0.1804,7000.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-185007,97.54725738275738,651.793072847795,-18.225057019094493,450.65445419822936,-140.94,27.56,68494.2,0.0,0.1917,7000.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-185017,73.62024945223311,651.3595849355625,-6.01121374899094,450.22096628599684,-140.94,27.56,68589.59,0.0,0.1917,7000.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-185027,73.19450645582037,653.0935365844925,-21.30406251410477,450.65445419822936,-140.94,27.56,68589.59,0.0,0.1804,7000.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-185037,85.20058258909557,653.0935365844925,-4.3593133547403795,451.0879421104619,-140.94,27.56,68589.59,0.0,0.1917,7000.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
