time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220221-175925,,,,,,,,0.87984,0.0902,,,,,,,,
20220221-175935,1064.044681697851,3.1007658662929316,-4.088537952640081,-1.6498565846845281,,,,0.87984,0.0902,,,,,,,,
20220221-175945,19.94156662021851,53.100549735063396,-5.212511311469825,-2.8589792755440158,,,,0.89112,0.0902,600.0,-1200.0,10000.0,10000.0,100.0,-72.0,0.0,0.0
20220221-175955,-11.648893405435956,43.73070083829589,-5.226135080249605,-2.869197324173456,21.09,30.66,98217.84,0.89112,0.0789,600.0,-1200.0,10000.0,10000.0,100.0,-72.0,0.0,0.0
20220221-180005,-0.23886315148047288,49.24498142599987,-5.212511311469825,-2.8453555067642355,21.09,30.66,98217.84,0.7896,0.1804,600.0,-1200.0,10000.0,10000.0,100.0,-72.0,0.0,0.0
20220221-180015,15.684094023526995,33.5604468659767,-5.222729360099265,-2.8623854397835657,21.09,30.66,98217.84,0.7896,0.1804,600.0,-1200.0,10000.0,10000.0,100.0,-72.0,0.0,0.0
20220221-180025,2.9968205694785865,58.99630295402858,-5.202293262840385,-2.8487614489591806,21.16,30.19,98220.92,0.7896,0.1804,600.0,-1200.0,10000.0,10000.0,100.0,-72.0,0.0,0.0
