time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220428-185029,,,,,,,,0.0,0.19176,,,,,,,,
20220428-185039,,,,,,,,0.0,0.19176,700.0,0.0,-2500.0,0.0,0.0,0.0,0.0,0.0
20220428-185049,190.87110558757558,0.0,-10.292530383537724,0.0,,,,0.0,0.28200000000000003,700.0,0.0,-2500.0,0.0,0.0,0.0,0.0,0.0
20220428-185059,190.87110558757558,0.0,-10.292530383537724,0.0,25.38,22.39,100328.27,0.0,0.37224,700.0,0.0,-2500.0,0.0,0.0,0.0,0.0,0.0
20220428-185109,216.07534961276542,0.0,-22.605146199339288,0.0,25.38,22.39,100328.27,0.0,0.89112,700.0,0.0,-2500.0,0.0,0.0,0.0,0.0,0.0
