time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220420-195936,,,,,,,,0.0,0.1804,,,,,,,,
20220420-195946,,,,,,,,0.0,0.7783,,,,,,,,
20220420-195956,-29.836382253733973,543.4274612525769,429.1568416192604,-21.74377478070255,,,,0.0,0.0902,,,,,,,,
20220420-200006,-29.836382253733973,543.4274612525769,429.1568416192604,-21.74377478070255,24.64,25.07,99678.06,0.0,0.0902,,,,,,,,
20220420-200016,-33.242361752172656,524.5242959972529,432.835292940581,-24.502618600763526,24.64,25.07,99678.06,0.0,0.0789,,,,,,,,
20220420-200026,-12.551034878072187,557.9028652391571,432.3244127135695,-22.935866539341987,24.64,25.07,99678.06,0.0,0.0789,,,,,,,,
20220420-200036,-12.551034878072187,557.9028652391571,432.3244127135695,-22.935866539341987,24.64,25.06,99678.28,0.0,0.0902,,,,,,,,
20220420-200046,-31.539372002953314,497.7192133992503,441.520541016871,-16.73698513116051,24.64,25.06,99678.28,0.0,0.0902,,,,,,,,
20220420-200056,-39.03252832060389,523.5365279077087,425.3080874150328,-13.978140422921115,24.64,25.06,99678.28,0.0,0.0902,,,,,,,,
20220420-200106,-39.03252832060389,523.5365279077087,425.3080874150328,-13.978140422921115,24.65,25.04,99676.48,0.0,0.0789,,,,,,,,
20220420-200116,-26.51555242039194,577.5213480774255,457.8011498779233,-20.07484489752187,24.65,25.04,99676.48,0.0,0.0902,,,,,,,,
20220420-200126,44.413976496571195,552.7598432308878,399.1842163486581,-20.415441781551635,24.65,25.04,99676.48,0.0,0.0789,,,,,,,,
20220420-200136,44.413976496571195,552.7598432308878,399.1842163486581,-20.415441781551635,24.65,25.07,99682.08,0.0,0.0902,,,,,,,,
20220420-200146,-25.153159555202365,520.5052389101184,452.8624799604586,-28.69197324173456,24.65,25.07,99682.08,0.0,0.0902,,,,,,,,
20220420-200156,-28.388841499804585,523.4343802840158,447.27664771926356,-31.17833813348625,24.65,25.07,99682.08,0.0,0.0789,,,,,,,,
20220420-200206,-28.388841499804585,523.4343802840158,447.27664771926356,-31.17833813348625,24.65,25.09,99680.09,0.0,0.0902,,,,,,,,
20220420-200216,-28.644288718737698,536.6155164665543,430.3489333778998,-36.18512778302829,24.65,25.09,99680.09,0.0,0.0902,,,,,,,,
20220420-200226,-38.43648244128417,529.1564093568013,436.9565544948273,-18.167495952070567,24.65,25.09,99680.09,0.0,0.0902,,,,,,,,
20220420-200236,-38.43648244128417,529.1564093568013,436.9565544948273,-18.167495952070567,24.65,25.09,99680.09,0.0,0.0902,,,,,,,,
20220420-200246,-40.82066595856304,534.2994313650706,453.3052333499654,-42.24777327976881,24.65,25.09,99680.09,0.0,0.0902,,,,,,,,
20220420-200256,-48.0583750572805,562.2965773000033,429.565574222579,-34.37995843569297,24.65,25.09,99680.09,0.0,0.0902,,,,,,,,
20220420-200306,-48.0583750572805,562.2965773000033,429.565574222579,-34.37995843569297,24.65,25.05,99679.03,0.0,0.0902,,,,,,,,
20220420-200316,-32.22056932372652,540.3620662036701,431.16637016282766,-47.629221455736115,24.65,25.05,99679.03,0.0,0.0902,,,,,,,,
20220420-200326,-42.779106479429174,532.8008114702243,457.528670949614,-19.666126505057946,24.65,25.05,99679.03,0.0,0.0789,,,,,,,,
20220420-200336,-42.779106479429174,532.8008114702243,457.528670949614,-19.666126505057946,24.65,25.03,99674.67,0.0,0.0902,,,,,,,,
20220420-200346,-50.69800934620616,537.1264251152752,457.76707224831625,-28.04483756335685,24.65,25.03,99674.67,0.0,0.0902,,,,,,,,
20220420-200356,-49.59106547630654,540.4302214628842,412.8762611799175,-25.047574681025253,24.65,25.03,99674.67,0.0,0.0902,,,,,,,,
20220420-200406,-49.59106547630654,540.4302214628842,412.8762611799175,-25.047574681025253,24.66,25.08,99677.91,0.0,0.0902,,,,,,,,
20220420-200416,-52.99704497474522,524.1496410235413,469.51771537351306,-13.331004744543407,24.66,25.08,99677.91,0.0,0.0902,,,,,,,,
20220420-200426,-17.234256688425376,534.265382157173,418.8707976027217,-27.22740255478584,24.66,25.08,99677.91,0.0,0.0902,,,,,,,,
20220420-200436,-17.234256688425376,534.265382157173,418.8707976027217,-27.22740255478584,24.66,25.06,99681.71,0.0,0.0789,,,,,,,,
20220420-200446,-9.230205044730155,512.5352231516445,426.26177787497,-26.171548483944207,24.66,25.06,99681.71,0.0,0.0902,,,,,,,,
20220420-200456,-35.20079872032511,546.5269055093813,435.1513780420646,-13.228825146427425,24.66,25.06,99681.71,0.0,0.0902,,,,,,,,
20220420-200506,-35.20079872032511,546.5269055093813,435.1513780420646,-13.228825146427425,24.66,25.05,99679.34,0.0,0.0902,,,,,,,,
20220420-200516,-42.52365570778238,545.3007361211348,439.1704351291992,-35.36769455081412,24.66,25.05,99679.34,0.0,0.0789,,,,,,,,
20220420-200526,-39.1176762093437,536.206812284945,456.98371309299546,-29.100689857841644,24.66,25.05,99679.34,0.0,0.0902,,,,,,,,
