time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220426-133943,,,,,,,,0.0,0,,,,,,,,
20220426-133953,,,,,,,,0.0,0,,,,,,,,
20220426-134003,1110.059884013026,-4782.192718266742,204.44245762973878,-49.80904577678302,,,,0.0,0,,,,,,,,
20220426-134013,1110.059884013026,-4782.192718266742,204.44245762973878,-49.80904577678302,25.99,38.84,98741.44,0.0,0.8572,,,,,,,,
20220426-134023,1110.059884013026,-4782.192718266742,204.44245762973878,-49.80904577678302,25.99,38.84,98741.44,0.0,0.0902,,,,,,,,
20220426-134033,1110.059884013026,-4782.192718266742,204.44245762973878,-49.80904577678302,25.99,38.84,98741.44,0.0,0.0789,,,,,,,,
20220426-134043,1110.059884013026,-4782.192718266742,204.44245762973878,-49.80904577678302,26.03,39.13,98744.52,0.0,0.0789,,,,,,,,
20220426-134053,1009.1576996273943,-576.414038278017,178.90782544327521,-58.35805794163207,26.03,39.13,98744.52,0.0,0.0789,,,,,,,,
20220426-134103,997.4922932087793,-501.56421593783307,165.0420813348319,-50.62648256171087,26.03,39.13,98744.52,0.0,0.0789,,,,,,,,
20220426-134113,997.4922932087793,-501.56421593783307,165.0420813348319,-50.62648256171087,26.07,38.93,98744.42,0.0,0.0902,,,,,,,,
20220426-134123,1041.8551710245083,-500.6957053410588,157.7192279000883,50.39487405156251,26.07,38.93,98744.42,0.0,0.0789,,,,,,,,
20220426-134133,1084.8556257769815,-419.4120037936955,161.26826096751756,-57.37032182651092,26.07,38.93,98744.42,0.0,0.0902,,,,,,,,
20220426-134143,1084.8556257769815,-419.4120037936955,161.26826096751756,-57.37032182651092,26.12,40.35,98751.55,0.0,0.0902,,,,,,,,
20220426-134153,932.4380130237842,-298.40435900041484,159.70491062944348,-39.659227013544296,26.12,40.35,98751.55,0.0,0.0902,,,,,,,,
20220426-134203,895.5682915257057,-340.5260997624282,140.36234574632545,-57.165962630278955,26.12,40.35,98751.55,0.0,0.0902,,,,,,,,
20220426-134213,895.5682915257057,-340.5260997624282,140.36234574632545,-57.165962630278955,26.15,39.1,98748.97,0.0,0.0902,,,,,,,,
20220426-134223,969.2225830804091,-311.14271337173705,146.2649095174129,10.749271694976414,26.15,39.1,98748.97,0.0,0.0902,,,,,,,,
20220426-134233,966.3275477578281,-309.93700761428045,136.1798069865472,-33.08568707893755,26.15,39.1,98748.97,0.0,0.0789,,,,,,,,
20220426-134243,966.3275477578281,-309.93700761428045,136.1798069865472,-33.08568707893755,26.17,39.47,98743.56,0.0,0.0902,,,,,,,,
20220426-134253,894.8870799940778,-275.7103061412636,133.32901005469466,-55.667332077291576,26.17,39.47,98743.56,0.0,0.0902,,,,,,,,
20220426-134303,864.6590572425339,-259.7328716547054,124.83448585953738,-36.59384617549222,26.17,39.47,98743.56,0.0,0.0902,,,,,,,,
20220426-134313,864.6590572425339,-259.7328716547054,124.83448585953738,-36.59384617549222,26.17,39.47,98743.56,0.0,0.0902,,,,,,,,
20220426-134323,864.6590572425339,-259.7328716547054,124.83448585953738,-36.59384617549222,26.2,39.18,98748.66,0.0,0.0902,,,,,,,,
20220426-134333,797.5612561494927,-252.14774268533802,122.92373696709546,-48.378534955872965,26.2,39.18,98748.66,0.0,0.0902,,,,,,,,
20220426-134343,797.5612561494927,-252.14774268533802,122.92373696709546,-48.378534955872965,26.22,38.63,98745.54,0.0,0.0902,,,,,,,,
20220426-134353,798.6681680449692,-215.91833387901715,112.27663776480767,-30.633380276867683,26.22,38.63,98745.54,0.0,0.0902,,,,,,,,
20220426-134403,803.3513836380735,-250.29828520928277,123.87741321617796,-19.836425835251248,26.22,38.63,98745.54,0.0,0.0902,,,,,,,,
