time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220420-191036,,,,,,,,0.0,0.1917,,,,,,,,
20220420-191046,,,,,,,,0.0,0.1917,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-191056,-34.51960495226558,523.3662250248017,440.7031326536526,-16.975402417074292,,,,0.0,0.1917,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-191106,-34.51960495226558,523.3662250248017,440.7031326536526,-16.975402417074292,24.71,24.91,99647.48,0.0,0.1917,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-191116,-34.51960495226558,523.3662250248017,440.7031326536526,-16.975402417074292,24.71,24.91,99647.48,0.0,0.1917,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
