time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220414-173333,,,,,,,,0.0,0.2932,,,,,,,,
20220414-173343,,,,,,,,0.0,0.282,,,,,,,,
20220414-173353,,,,,,,,0.0,0.282,,,,,,,,
20220414-173403,,,,,,,,0.0,0.282,,,,,,,,
20220414-173413,,,,,,,,0.0,0.2932,,,,,,,,
20220414-173423,,,,,,,,0.0,0.0902,,,,,,,,
20220414-173433,,,,,,,,0.0,0.282,,,,,,,,
20220414-173443,,,,,,,,0.0,0.1917,,,,,,,,
20220414-173453,,,,,,,,0.0,0.1804,,,,,,,,
