time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220420-153837,,,,,,,,0.0,0.1917,,,,,,,,
20220420-153847,,,,,,,,0.0,0.1804,,,,,,,,
20220420-153857,-54.44458395231777,1.0404154407630404e+43,-2.5868392448e+19,-6.7423440896e+19,,,,0.0,0.1804,,,,,,,,
20220420-153907,-54.44458395231777,1.0404154407630404e+43,-2.5868392448e+19,-6.7423440896e+19,,,,0.0,0.1917,,,,,,,,
20220420-153917,-54.44458395231777,1.0404154407630404e+43,-2.5868392448e+19,-6.7423440896e+19,,,,0.0,0.1917,,,,,,,,
20220420-153927,-54.44458395231777,1.0404154407630404e+43,-2.5868392448e+19,-6.7423440896e+19,23.92,25.15,99633.0,0.0,0.1804,,,,,,,,
20220420-153937,4.421694411070045e-20,0.0,3.186622650865403e-08,4.903143326672535e-32,23.92,25.15,99633.0,0.0,0.1917,,,,,,,,
20220420-153947,-23.024423256856608,500.71651003236184,419.9266356863518,-7.736473435506318e+28,23.92,25.15,99633.0,0.0,0.1804,,,,,,,,
20220420-153957,-23.024423256856608,500.71651003236184,419.9266356863518,-7.736473435506318e+28,23.92,25.15,99633.0,0.0,0.1917,,,,,,,,
20220420-154007,-23.024423256856608,500.71651003236184,419.9266356863518,-7.736473435506318e+28,23.92,25.15,99633.0,0.0,0.1804,,,,,,,,
20220420-154018,-45.67418798728795,478.8160481439263,3.0258610604131845e-10,8.927155672498216e-27,23.92,25.15,99633.0,0.0,0.1917,,,,,,,,
20220420-154027,-45.67418798728795,478.8160481439263,3.0258610604131845e-10,8.927155672498216e-27,23.92,25.15,99633.0,0.0,0.1917,,,,,,,,
20220420-154037,-45.67418798728795,478.8160481439263,3.0258610604131845e-10,8.927155672498216e-27,23.92,25.15,99633.0,0.0,0.1917,,,,,,,,
20220420-154047,1.2611686178923354e-35,663314819.3359375,-0.08144875746074476,1.1332451384800829e-13,23.92,25.15,99633.0,0.0,0.1917,,,,,,,,
20220420-154058,83232522.01080322,-5672091.152518988,4.815706114389222e-24,-44.31179689845521,23.92,25.15,99633.0,0.0,0.1917,,,,,,,,
20220420-154108,83232522.01080322,-5672091.152518988,4.815706114389222e-24,-44.31179689845521,-174.98,619.48,0.08,0.0,0.1917,,,,,,,,
20220420-154118,83232522.01080322,-5672091.152518988,4.815706114389222e-24,-44.31179689845521,135.35,488.58,13757475.13,0.0,0.1804,,,,,,,,
20220420-154128,83232522.01080322,-5672091.152518988,4.815706114389222e-24,-44.31179689845521,135.35,488.58,13757475.13,0.0,0.1917,,,,,,,,
20220420-154137,83232522.01080322,-5672091.152518988,4.815706114389222e-24,-44.31179689845521,135.35,488.58,13757475.13,0.0,0.1917,,,,,,,,
