time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220414-182734,,,,,,,,0.0,0.5978,,,,,,,,
20220414-182744,102.23048008128899,652.2265607600275,-15.193734270724235,449.7874783737643,,,,0.0,0.5978,,,,,,,,
20220414-182754,84.94513537016246,652.66004867226,-6.164482702075702,449.7874783737643,,,,0.0,0.5865,,,,,,,,
20220414-182804,92.43829168781303,652.2265607600275,-9.396757150170743,449.3539904615318,-140.94,27.65,68585.93,0.0,0.5865,,,,,,,,
20220414-182814,66.72313901390226,652.66004867226,-18.654210620638878,449.3539904615318,-140.94,27.65,68585.93,0.0,0.0902,,,,,,,,
20220414-182824,88.94716074792086,652.66004867226,-13.889244421250169,450.65445419822936,-140.94,27.65,68585.93,0.0,0.1804,,,,,,,,
