time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220414-175950,,,,,,,,0.0,0.1917,,,,,,,,
20220414-180000,99.16509924323691,652.2265607600275,-8.43967740138396,449.7874783737643,,,,0.0,0.1917,,,,,,,,
20220414-180010,61.78446909643753,651.793072847795,-11.63448626329,450.65445419822936,,,,0.0,0.1804,,,,,,,,
20220414-180020,61.78446909643753,651.793072847795,-11.63448626329,450.65445419822936,-140.94,27.5,68502.17,0.0,0.1917,,,,,,,,
20220414-180030,71.83211181427396,650.4926091110974,-13.26595011619247,451.9549179349269,-140.94,27.5,68502.17,0.0,0.1917,,,,,,,,
20220414-180040,116.96134549765702,650.9260970233299,-20.738669448405744,450.65445419822936,-140.94,27.5,68502.17,0.0,0.1917,,,,,,,,
20220414-180050,112.36326713515155,652.2265607600275,-14.151504856840802,450.22096628599684,-140.94,27.54,68527.47,0.0,0.0902,,,,,,,,
20220414-180100,72.42815769359368,652.2265607600275,-22.455283854583286,450.65445419822936,-140.94,27.54,68527.47,0.0,0.0902,,,,,,,,
20220414-180110,72.42815769359368,652.2265607600275,-22.455283854583286,450.65445419822936,-140.94,27.54,68527.47,0.0,0.1804,,,,,,,,
20220414-180120,72.42815769359368,652.2265607600275,-22.455283854583286,450.65445419822936,-140.94,27.53,68538.48,0.0,0.1917,,,,,,,,
20220414-180130,67.31919199864933,652.2265607600275,-9.321825977792741,448.9205025492993,-140.94,27.53,68538.48,0.0,0.1917,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-180140,86.39267434773501,653.0935365844925,-15.748909731883032,450.22096628599684,-140.94,27.53,68538.48,0.0,0.1917,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-180150,76.77078173173868,652.2265607600275,-29.767921461143487,450.22096628599684,-140.94,27.6,68521.4,0.0,0.282,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-180200,99.84629656401012,652.66004867226,-20.231178510243808,450.22096628599684,-140.94,27.6,68521.4,0.0,0.2932,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-180210,59.82603568099876,652.2265607600275,-15.65694773830728,450.65445419822936,-140.94,27.6,68521.4,0.0,0.4963,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-180220,59.82603568099876,652.2265607600275,-15.65694773830728,450.65445419822936,-140.94,27.59,68532.79,0.0,1.071,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-180230,64.67955415700999,652.2265607600275,-16.33133273060139,449.7874783737643,-140.94,27.59,68532.79,0.0,1.071,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-180240,93.54523200499898,652.66004867226,-15.013217335990703,451.9549179349269,-140.94,27.59,68532.79,0.0,1.0603,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-180250,93.54523200499898,652.66004867226,-15.013217335990703,451.9549179349269,-140.94,27.57,68532.15,0.0,1.071,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-180300,67.14888911574235,651.793072847795,-8.017335240140255,451.0879421104619,-140.94,27.57,68532.15,0.0,0.958,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-180310,67.14888911574235,651.793072847795,-8.017335240140255,451.0879421104619,-140.94,27.57,68532.15,0.0,0.9475,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-180320,67.14888911574235,651.793072847795,-8.017335240140255,451.0879421104619,-140.94,27.57,68505.84,0.0,0.958,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-180330,85.7114770269618,652.2265607600275,-8.42605274442576,449.3539904615318,-140.94,27.57,68505.84,0.0,0.9475,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-180340,87.49962177034831,652.2265607600275,-5.585466311686105,450.22096628599684,-140.94,27.57,68505.84,0.0,0.1917,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-180350,87.49962177034831,652.2265607600275,-5.585466311686105,450.22096628599684,-140.94,27.56,68563.79,0.0,0.1804,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
