time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220420-175533,,,,,,,,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175543,-36.64834125061134,533.6523258847592,415.12421944389644,-26.954923626476557,,,,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175553,-43.80089890787531,510.90034958178876,422.8898546898563,-19.666126505057946,,,,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175603,-43.80089890787531,510.90034958178876,422.8898546898563,-19.666126505057946,24.6,24.56,99623.67,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175613,-41.67216260952955,508.00525741578895,384.1298052975617,-30.633380276867683,24.6,24.56,99623.67,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175623,-35.37109805051841,505.110222093208,426.7386088940839,-29.032570125764323,24.6,24.56,99623.67,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175633,-35.37109805051841,505.110222093208,426.7386088940839,-29.032570125764323,24.6,24.56,99625.88,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
