time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220426-133528,,,,,,,,0.0,0,,,,,,,,
20220426-133538,43557.16737336479,-4782.185897056479,7911.376997071784,-3102.3503197502578,,,,0.0,0,,,,,,,,
20220426-133548,43557.16737336479,-4782.185897056479,7911.376997071784,-3102.3503197502578,,,,0.0,0,,,,,,,,
20220426-133558,43557.16737336479,-4782.185897056479,7911.376997071784,-3102.3503197502578,25.53,39.46,98743.78,0.0,0,,,,,,,,
20220426-133608,2902.4567993474193,-4782.209543918725,7912.364708317909,-161.76359451947064,25.53,39.46,98743.78,0.0,0,,,,,,,,
20220426-133618,2604.178007459268,-4782.209543918725,7912.446562841069,-151.61377575623192,25.53,39.46,98743.78,0.0,0,,,,,,,,
20220426-133628,2604.178007459268,-4782.209543918725,7912.446562841069,-151.61377575623192,25.6,39.11,98741.11,0.0,0,,,,,,,,
20220426-133638,2604.178007459268,-4782.209543918725,7912.446562841069,-151.61377575623192,25.6,39.11,98741.11,0.0,0,700.0,-2500.0,4000.0,4500.0,0.0,0.0,25.0,0.0
20220426-133648,2040.3181224537548,-4782.1959014981985,7912.773980933707,-113.0240292468443,25.6,39.11,98741.11,0.0,0,700.0,-2500.0,4000.0,4500.0,0.0,0.0,25.0,0.0
20220426-133658,2040.3181224537548,-4782.1959014981985,7912.773980933707,-113.0240292468443,25.66,38.91,98740.89,0.0,0,700.0,-2500.0,4000.0,4500.0,0.0,0.0,25.0,0.0
20220426-133708,1956.1903172871098,-4782.206360687269,7912.920409580693,-94.7679765772591,25.66,38.91,98740.89,0.0,0,700.0,-2500.0,4000.0,4500.0,0.0,0.0,25.0,0.0
20220426-133718,1796.1093590201926,-4782.206360687269,7912.944056442939,-102.12489343075504,25.66,38.91,98740.89,0.0,0,700.0,-2500.0,4000.0,4500.0,0.0,0.0,25.0,0.0
20220426-133728,1796.1093590201926,-4782.206360687269,7912.944056442939,-102.12489343075504,25.73,39.25,98743.02,0.0,0,700.0,-2500.0,4000.0,4500.0,0.0,0.0,25.0,0.0
20220426-133738,1593.283286638325,-4782.202722708462,7913.032277429011,-85.77619325933483,25.73,39.25,98743.02,0.0,0,700.0,-2500.0,4000.0,4500.0,0.0,0.0,25.0,0.0
20220426-133748,1543.3005273735034,-4782.199539477006,818.4520083887037,-70.5174016957244,25.73,39.25,98743.02,0.0,0,700.0,-2500.0,4000.0,4500.0,0.0,0.0,25.0,0.0
