time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220420-180402,,,,,,,,0.0,0.0902,,,,,,,,
20220420-180412,,,,,,,,0.0,0.7557,,,,,,,,
20220420-180422,-32.22056932372652,517.2695409783046,423.60511542938184,-33.290046275169516,,,,0.0,0.0902,,,,,,,,
20220420-180432,-32.22056932372652,517.2695409783046,423.60511542938184,-33.290046275169516,24.63,24.68,99627.81,0.0,0.0902,,,,,,,,
20220420-180442,-36.90378846954445,532.323952029401,450.13769067736575,-17.52036027369286,24.63,24.68,99627.81,0.0,0.0902,,,,,,,,
20220420-180452,-44.82269133632144,522.9234716352948,423.1623336181656,-25.422233207450518,24.63,24.68,99627.81,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180502,-44.82269133632144,522.9234716352948,423.1623336181656,-25.422233207450518,24.63,24.68,99627.81,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180512,-34.51960495226558,549.3879484674835,420.91437535418663,-24.196079806415582,24.63,24.68,99627.81,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180522,-40.90581740001653,515.9752731742628,440.7371818615502,-25.183814145179895,24.63,24.68,99627.81,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180532,-40.90581740001653,515.9752731742628,440.7371818615502,-25.183814145179895,24.63,24.68,99627.81,0.0,0.0789,70.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180542,-36.22259470148492,506.81319407885894,417.09967035785667,-25.285993743295876,24.63,24.68,99627.81,0.0,0.0902,70.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180552,-30.687875351986804,557.6304147325573,414.3067826589686,-20.994459504208862,24.63,24.68,99627.81,0.0,0.0789,70.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
