time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220428-202108,,,,,,,,0.0,0.07896,700.0,0.0,-2500.0,0.0,0.0,0.0,0.0,0.0
20220428-202118,,,,,,,,0.0,0.09024,700.0,0.0,-2500.0,0.0,0.0,0.0,0.0,0.0
20220428-202128,,,,,,,,0.0,0.09024,700.0,0.0,-2500.0,0.0,0.0,0.0,0.0,0.0
20220428-202138,,,,,,,,0.0,0.09024,700.0,0.0,-2500.0,0.0,0.0,0.0,0.0,0.0
20220428-202148,239.83204755495535,0.0,-19.71687524360277,0.0,,,,0.0,0.09024,700.0,0.0,-2500.0,0.0,0.0,0.0,0.0,0.0
20220428-202158,238.98056156212988,0.0,-9.98599158918978,0.0,,,,0.0,0.09024,700.0,0.0,-2500.0,0.0,0.0,0.0,0.0,0.0
20220428-202208,238.98056156212988,0.0,-9.98599158918978,0.0,25.32,22.99,100360.77,0.0,0.07896,700.0,0.0,-2500.0,0.0,0.0,0.0,0.0,0.0
20220428-202218,238.98056156212988,0.0,-9.98599158918978,0.0,25.32,22.99,100360.77,0.0,0.09024,700.0,0.0,-2500.0,0.0,0.0,0.0,0.0,0.0
20220428-202228,238.98056156212988,0.0,-9.98599158918978,0.0,25.32,22.99,100360.77,0.0,0.07896,700.0,0.0,-2500.0,0.0,0.0,0.0,0.0,0.0
20220428-202238,238.98056156212988,0.0,-9.98599158918978,0.0,25.32,22.99,100360.77,0.0,0.09024,700.0,0.0,-2500.0,0.0,0.0,0.0,0.0,0.0
