time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220221-185152,,,,,,,,0.0,0,,,,,,,,
20220221-185202,156.2461591220199,9861131.198704243,3454872.1741884947,10098710.656166077,,,,0.0,0,0.0,100.0,1.0,666.0,103.0,0.0,25.0,25.0
20220221-185212,200.18327973048144,9859284.38603878,3454872.639849782,10098695.755004883,,,,0.0,0,0.0,100.0,1.0,666.0,103.0,0.0,25.0,25.0
20220221-185222,183.0682379022619,9856217.540800571,3454872.639849782,10098716.244101524,23.27,20.77,98211.11,0.0,0,0.0,100.0,1.0,666.0,103.0,0.0,25.0,25.0
20220221-185232,175.0642013575998,9853538.125753403,3454872.1741884947,10098729.282617569,23.27,20.77,98211.11,0.0,0,0.0,100.0,1.0,666.0,103.0,0.0,25.0,25.0
20220221-185242,184.85638975107577,9856704.622507095,3454871.4756965637,10098742.321133614,23.27,20.77,98211.11,0.0,0,0.0,100.0,1.0,666.0,103.0,0.0,25.0,25.0
20220221-185252,187.07027038544766,9840230.457484722,3454872.639849782,10098746.046423912,23.31,20.72,98214.88,0.0,0,0.0,100.0,1.0,666.0,103.0,0.0,25.0,25.0
20220221-185302,167.1452878326818,9823802.85859108,3454872.8726804256,10098739.52716589,23.31,20.72,98214.88,0.0,0,0.0,100.0,1.0,666.0,103.0,0.0,25.0,25.0
20220221-185312,183.57914655098284,9787589.311599731,3454872.639849782,10098746.977746487,23.31,20.72,98214.88,0.0,0,0.0,100.0,1.0,666.0,103.0,0.0,25.0,25.0
20220221-185322,198.31000486192352,9716252.79635191,3454873.5711723566,10098746.046423912,23.33,20.68,98213.16,0.0,0,0.0,100.0,1.0,666.0,103.0,0.0,25.0,25.0
20220221-185332,143.98463576981158,9712734.259665012,3454872.8726804256,10098735.801875591,23.33,20.68,98213.16,0.0,0,0.0,100.0,1.0,666.0,103.0,0.0,25.0,25.0
20220221-185342,186.38908727552916,9708057.157695293,3454872.1741884947,10098754.428327084,23.33,20.68,98213.16,0.0,0,0.0,100.0,1.0,666.0,103.0,0.0,25.0,25.0
20220221-185352,172.1691091916,9703138.84317875,3454872.8726804256,10098766.535520554,23.36,20.66,98211.84,0.0,0,0.0,100.0,1.0,666.0,103.0,0.0,25.0,25.0
