time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220414-175724,,,,,,,,0.0,0.0789,,,,,,,,
20220414-175734,87.41447032889482,651.3595849355625,-8.092267300696676,450.22096628599684,,,,0.0,0.0902,,,,,,,,
20220414-175744,76.68563029028519,651.3595849355625,-5.490098597960014,449.7874783737643,,,,0.0,0.0902,,,,,,,,
20220414-175754,76.68563029028519,651.3595849355625,-5.490098597960014,449.7874783737643,-140.94,27.54,68455.23,0.0,0.0789,,,,,,,,
20220414-175804,80.68765566804359,652.2265607600275,-2.9798916667544972,448.9205025492993,-140.94,27.54,68455.23,0.0,0.0902,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-175814,88.69171352898775,650.9260970233299,-7.714203498210281,451.5214300226944,-140.94,27.54,68455.23,0.0,0.0789,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-175824,88.69171352898775,650.9260970233299,-7.714203498210281,451.5214300226944,-140.94,27.53,68592.76,0.0,0.0902,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-175834,74.98264409377953,650.9260970233299,-23.299966400713856,451.0879421104619,-140.94,27.53,68592.76,0.0,0.1804,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
