time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220420-143024,,,,,,,,0.0,0.1917,,,,,,,,
20220420-143034,,,,,,,,0.0,0.282,,,,,,,,
20220420-143044,,,,,,,,0.0,0.2932,,,,,,,,
20220420-143054,,,,,24.64,23.37,99794.77,0.0,0.282,,,,,,,,
20220420-143104,,,,,24.64,23.37,99794.77,0.0,0.282,,,,,,,,
20220420-143114,,,,,24.64,23.37,99794.77,0.0,0.282,,,,,,,,
20220420-143124,,,,,24.64,23.31,99791.36,0.0,0.282,,,,,,,,
20220420-143134,22.833688717582845,19.928387828827,29.68311285656,11.784689668559167,24.64,23.31,99791.36,0.0,0.0789,,,,,,,,
20220420-143144,14.928408731407217,16.198839603021042,21.937914596037444,16.549655867947877,24.64,23.31,99791.36,0.0,0.1804,,,,,,,,
20220420-143154,14.928408731407217,16.198839603021042,21.937914596037444,16.549655867947877,24.65,23.29,99791.05,0.0,0.1804,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143204,15.054430591021628,18.38547802890389,23.89635334054674,0.3746577770247228,24.65,23.29,99791.05,0.0,0.1917,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143214,23.555756456516974,14.165469686133747,26.47127494981305,14.751297960913234,24.65,23.29,99791.05,0.0,0.0902,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143224,23.555756456516974,14.165469686133747,26.47127494981305,14.751297960913234,24.65,23.28,99797.13,0.0,0.0902,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143234,17.373903204997987,15.521049334665804,22.39091045908026,7.070813712317658,24.65,23.28,99797.13,0.0,0.0902,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143244,15.15320313671964,19.461767308825983,13.181141511608985,10.636874492320203,24.65,23.28,99797.13,0.0,0.0902,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143254,15.15320313671964,19.461767308825983,13.181141511608985,10.636874492320203,24.65,23.28,99797.13,0.0,0.485,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143304,1.4081416724168074e-25,1.4077208362556634e-25,1.4097357070413698e-25,-1.5803778033784004e-10,24.65,23.28,99797.13,0.0,0.0902,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143314,22.38069285454003,9.264264910768816,29.155186709317604,8.566038545154697,24.65,23.28,99797.13,0.0,0.82344,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143324,22.38069285454003,9.264264910768816,29.155186709317604,8.566038545154697,24.66,23.28,99806.37,0.0,0.0902,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143334,17.51695322127489,13.041495883214793,27.26486769688563,18.838473891946705,24.66,23.28,99806.37,0.0,0.0789,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143344,19.792148364672357,18.565994963637422,25.371143408392527,9.59464507843677,24.66,23.28,99806.37,0.0,0.0789,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143354,19.792148364672357,18.565994963637422,25.371143408392527,9.59464507843677,24.66,23.28,99806.37,0.0,0.0902,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143404,-5.589950611346106e-24,1.1775716673516162e+37,8.895741761004357e-18,-9.601558819394028e+26,24.66,23.28,99806.37,0.0,0.0789,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143414,18.133436086031907,15.2076999881956,23.661341330694086,16.75742034024097,24.66,23.28,99806.37,0.0,0.0902,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143424,18.133436086031907,15.2076999881956,23.661341330694086,16.75742034024097,24.66,23.28,99803.22,0.0,0.0789,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143434,29.216494112915825,18.174308280549667,26.801654229302585,20.180429771698982,24.66,23.28,99803.22,0.0,0.0902,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143444,16.232899469059703,20.248549503776303,20.946774981212002,9.61508028751723,24.66,23.28,99803.22,0.0,0.0789,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143454,16.232899469059703,20.248549503776303,20.946774981212002,9.61508028751723,24.67,23.29,99805.0,0.0,0.0902,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143504,20.08846777812323,16.91409501347607,25.173596540639664,7.779257238382797,24.67,23.29,99805.0,0.0,0.0902,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143514,9.414128143703238,19.383429972208432,25.960376959233145,5.337170261299207,24.67,23.29,99805.0,0.0,0.0789,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143524,9.414128143703238,19.383429972208432,25.960376959233145,5.337170261299207,24.67,23.22,99800.21,0.0,0.0902,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143534,18.014226554896595,14.867101327808996,22.32619777942091,14.44816621898326,24.67,23.22,99800.21,0.0,0.0902,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143544,21.266936656161306,17.312594025042927,32.77914828458961,12.251309300381763,24.67,23.22,99800.21,0.0,0.0902,600.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143554,21.266936656161306,17.312594025042927,32.77914828458961,12.251309300381763,24.67,23.19,99794.0,0.0,0.0902,600.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143604,-0.0012365450460447014,-8.888065319586716e-27,1.7175508414186863e-25,7.450580596923828,24.67,23.19,99794.0,0.0,0.0902,600.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143614,-0.0012365450460447014,-8.888065319586716e-27,1.7175508414186863e-25,7.450580596923828,24.67,23.19,99794.0,0.0,0.0902,600.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143624,-0.0012365450460447014,-8.888065319586716e-27,1.7175508414186863e-25,7.450580596923828,136.97,182.28,8420195.99,0.0,0.0789,600.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
20220420-143634,-0.0012365450460447014,-8.888065319586716e-27,1.7175508414186863e-25,7.450580596923828,136.97,182.28,8420195.99,0.0,0.0902,600.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0
