time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220420-200658,,,,,,,,0.0,0.0902,,,,,,,,
20220420-200708,,,,,,,,0.0,0.0902,,,,,,,,
20220420-200718,-45.67418798728795,575.4777134825417,451.87474029262376,-28.79415283985054,,,,0.0,0.0789,,,,,,,,
20220420-200728,-45.67418798728795,575.4777134825417,451.87474029262376,-28.79415283985054,24.67,25.02,99680.5,0.0,0.0902,,,,,,,,
20220420-200738,-33.49780897110577,585.6275606674899,447.03824642056134,-14.625276989477243,24.67,25.02,99680.5,0.0,0.0902,,,,,,,,
20220420-200748,-33.49780897110577,585.6275606674899,447.03824642056134,-14.625276989477243,24.67,25.02,99680.5,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-200758,-33.49780897110577,585.6275606674899,447.03824642056134,-14.625276989477243,24.67,25.02,99680.5,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-200808,-35.37109805051841,564.5786131935893,431.54102513653925,-18.167495952070567,24.67,25.02,99680.5,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-200818,-44.82269133632144,558.2775202128687,437.6377376047458,-19.90454556732857,24.67,25.02,99680.5,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
