time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220420-144811,,,,,,,,0.0,0.0902,,,,,,,,
20220420-144821,,,,,,,,0.0,0.0789,,,,,,,,
20220420-144831,21.260126104039045,15.578951462202895,29.56731037784266,13.899803086303564,,,,0.0,0.0902,,,,,,,,
20220420-144841,21.260126104039045,15.578951462202895,29.56731037784266,13.899803086303564,24.75,22.98,99794.88,0.0,0.0902,,,,,,,,
20220420-144851,29.64905299052134,20.10890476356053,28.623853509657238,9.56399137663766,24.75,22.98,99794.88,0.0,0.0789,,,,,,,,
20220420-144901,15.95020293621019,17.52036027369286,37.47599564007942,6.467955504518841,24.75,22.98,99794.88,0.0,0.282,,,,,,,,
20220420-144911,15.95020293621019,17.52036027369286,37.47599564007942,6.467955504518841,24.75,22.96,99797.53,0.0,0.2932,,,,,,,,
20220420-144921,17.45564581767667,14.37323415842684,24.502618600763526,9.083747976035284,24.75,22.96,99797.53,0.0,0.789,,,,,,,,
20220420-144931,17.45564581767667,14.37323415842684,24.502618600763526,9.083747976035284,24.75,22.96,99797.53,0.0,0.789,,,,,,,,
20220420-144941,13.927050623863124,15011.160940048285,-3.1046147489627155e-15,2.5111268480700722e-33,24.75,22.96,99797.53,0.0,0.789,,,,,,,,
20220420-144951,0.0,-3.799457029806046e-17,1.33912316445675e-25,6.162975822039155e-24,24.75,22.96,99797.53,0.0,0.789,,,,,,,,
20220420-145001,0.0,3.5873240686715317e-34,6.428484731059385e-31,1.33912316445675e-25,24.75,22.96,99797.53,0.0,0.789,,,,,,,,
20220420-145011,0.0,3.5873240686715317e-34,6.428484731059385e-31,1.33912316445675e-25,24.75,22.96,99797.53,0.0,0.789,,,,,,,,
20220420-145021,0.0,3.5873240686715317e-34,6.428484731059385e-31,1.33912316445675e-25,24.75,22.96,99797.53,0.0,0.7783,,,,,,,,
20220420-145031,0.0,3.5873240686715317e-34,6.428484731059385e-31,1.33912316445675e-25,24.75,22.96,99797.53,0.0,0.789,,,,,,,,
20220420-145041,0.0,3.5873240686715317e-34,6.428484731059385e-31,1.33912316445675e-25,24.75,22.96,99797.53,0.0,0.7783,,,,,,,,
20220420-145051,0.0,3.5873240686715317e-34,6.428484731059385e-31,1.33912316445675e-25,24.75,22.96,99797.53,0.0,0.789,,,,,,,,
20220420-145101,0.0,3.5873240686715317e-34,6.428484731059385e-31,1.33912316445675e-25,24.75,22.96,99797.53,0.0,0.789,,,,,,,,
20220420-145111,0.0,3.5873240686715317e-34,6.428484731059385e-31,1.33912316445675e-25,24.75,22.96,99797.53,0.0,0.7783,,,,,,,,
