time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220420-164924,,,,,,,,0.0,0.4963,,,,,,,,
20220420-164934,-32.81661520304624,523.672781582718,401.05751963892544,-14.557157257399922,,,,0.0,0.451,,,,,,,,
20220420-164944,-32.81661520304624,523.672781582718,401.05751963892544,-14.557157257399922,,,,0.0,0.1917,,,,,,,,
20220420-164954,-32.81661520304624,523.672781582718,401.05751963892544,-14.557157257399922,,,,0.0,0.1804,,,,,,,,
20220420-165004,-32.81661520304624,523.672781582718,401.05751963892544,-14.557157257399922,,,,0.0,0.1917,,,,,,,,
20220420-165014,-32.81661520304624,523.672781582718,401.05751963892544,-14.557157257399922,,,,0.0,0.1917,,,,,,,,
20220420-165024,-32.81661520304624,523.672781582718,401.05751963892544,-14.557157257399922,,,,0.0,0.1917,,,,,,,,
20220420-165034,-32.81661520304624,523.672781582718,401.05751963892544,-14.557157257399922,,,,0.0,0.1917,,,,,,,,
20220420-165044,-32.81661520304624,523.672781582718,401.05751963892544,-14.557157257399922,,,,0.0,0.1917,,,,,,,,
20220420-165054,-32.81661520304624,523.672781582718,401.05751963892544,-14.557157257399922,,,,0.0,0.1917,,,,,,,,
20220420-165104,-32.81661520304624,523.672781582718,401.05751963892544,-14.557157257399922,,,,0.0,0.1917,,,,,,,,
