time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220414-155925,,,,,,,,0.0,0.0789,,,,,,,,
20220414-155935,90.0541010651068,651.3595849355625,-28.678009300620033,450.22096628599684,,,,0.0,0.0902,,,,,,,,
20220414-155945,70.46971717272754,652.66004867226,-16.910348676901776,449.3539904615318,,,,0.0,0.0902,,,,,,,,
20220414-155955,70.46971717272754,652.66004867226,-16.910348676901776,449.3539904615318,,,,0.0,0.0789,,,,,,,,
20220414-160005,70.46971717272754,652.66004867226,-16.910348676901776,449.3539904615318,,,,0.0,0.0789,,,,,,,,
20220414-160015,0.13521272990146826,-1.0441330867066373e-25,1.325412185084904e+31,9.822048472573057e-09,,,,0.0,0.1917,,,,,,,,
20220414-160025,0.13521272990146826,-1.0441330867066373e-25,1.325412185084904e+31,9.822048472573057e-09,,,,0.0,0.1917,,,,,,,,
20220414-160035,0.13521272990146826,-1.0441330867066373e-25,1.325412185084904e+31,9.822048472573057e-09,,,,0.0,0.1917,,,,,,,,
20220414-160045,0.13521272990146826,-1.0441330867066373e-25,1.325412185084904e+31,9.822048472573057e-09,,,,0.0,0.2932,,,,,,,,
20220414-160055,0.13521272990146826,-1.0441330867066373e-25,1.325412185084904e+31,9.822048472573057e-09,-172.04,5.91,33853896.12,0.0,0.2932,,,,,,,,
20220414-160105,0.13521272990146826,-1.0441330867066373e-25,1.325412185084904e+31,9.822048472573057e-09,-172.04,5.91,33853896.12,0.0,0.2932,,,,,,,,
20220414-160115,0.13521272990146826,-1.0441330867066373e-25,1.325412185084904e+31,9.822048472573057e-09,-172.04,5.91,33853896.12,0.0,0.2932,,,,,,,,
20220414-160125,4.139856053154807e-32,0.0,0.0018518468009043332,-495848062500000.0,-172.04,5.91,33853896.12,0.0,0.1804,,,,,,,,
20220414-160135,4.139856053154807e-32,0.0,0.0018518468009043332,-495848062500000.0,135.53,190.83,18489830.14,0.0,0.1804,,,,,,,,
20220414-160145,4.139856053154807e-32,0.0,0.0018518468009043332,-495848062500000.0,135.53,190.83,18489830.14,0.0,0.1917,,,,,,,,
20220414-160155,4.139856053154807e-32,0.0,0.0018518468009043332,-495848062500000.0,135.53,190.83,18489830.14,0.0,0.1917,,,,,,,,
20220414-160205,4.139856053154807e-32,0.0,0.0018518468009043332,-495848062500000.0,135.53,190.83,18489830.14,0.0,0.1804,,,,,,,,
