time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220414-181727,,,,,,,,0.0,0.1917,,,,,,,,
20220414-181737,90.30954828403992,650.4926091110974,-3.691741357059186,450.65445419822936,,,,0.0,0.1917,,,,,,,,
20220414-181747,90.30954828403992,650.4926091110974,-3.691741357059186,450.65445419822936,,,,0.0,0.1917,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-181757,107.93549876098041,653.9605124089576,-9.819099311414448,451.0879421104619,-140.94,27.54,68535.32,0.0,0.1917,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-181807,88.35111486860114,653.5270244967251,-15.347003667898207,451.0879421104619,-140.94,27.54,68535.32,0.0,0.1917,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-181817,78.55891936969783,652.2265607600275,-13.020719613621168,448.9205025492993,-140.94,27.54,68535.32,0.0,0.1917,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-181827,72.9390521314599,652.66004867226,-29.502254861313304,449.7874783737643,-140.94,27.51,68471.43,0.0,0.5865,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
20220414-181837,105.89190679866078,653.0935365844925,-3.0854769850208186,450.22096628599684,-140.94,27.51,68471.43,0.0,0.5978,700.0,4000.0,-2500.0,4000.0,0.0,0.0,0.0,0.0
