time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220420-144035,,,,,,,,0.0,0.1804,,,,,,,,
20220420-144045,,,,,,,,0.0,0.1804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220420-144055,236571075439.45312,6.60857960969441e-31,-1.51732604633088e+23,2.159681193217408e-32,,,,0.0,0.1804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220420-144105,236571075439.45312,6.60857960969441e-31,-1.51732604633088e+23,2.159681193217408e-32,,,,0.0,0.1917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220420-144115,236571075439.45312,6.60857960969441e-31,-1.51732604633088e+23,2.159681193217408e-32,81.92,0.64,8388608.0,0.0,0.1917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220420-144125,236571075439.45312,6.60857960969441e-31,-1.51732604633088e+23,2.159681193217408e-32,81.92,0.64,8388608.0,0.0,0.1917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220420-144135,236571075439.45312,6.60857960969441e-31,-1.51732604633088e+23,2.159681193217408e-32,81.92,0.64,8388608.0,0.0,0.0902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220420-144145,236571075439.45312,6.60857960969441e-31,-1.51732604633088e+23,2.159681193217408e-32,81.92,0.64,8388608.0,0.0,0.5978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220420-144155,29.336661100387573,9.788785781950082,0.0018518515713938921,9.674401159213968e-26,81.92,0.64,8388608.0,0.0,0.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220420-144205,29.336661100387573,9.788785781950082,0.0018518515713938921,9.674401159213968e-26,81.92,0.64,8388608.0,0.0,0.2932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220420-144215,29.336661100387573,9.788785781950082,0.0018518515713938921,9.674401159213968e-26,81.92,0.64,8388608.0,0.0,0.2932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220420-144225,29.336661100387573,9.788785781950082,0.0018518515713938921,9.674401159213968e-26,81.92,0.64,8388608.0,0.0,0.2932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220420-144235,29.336661100387573,9.788785781950082,0.0018518515713938921,9.674401159213968e-26,81.92,0.64,8388608.0,0.0,0.733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
