time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220420-175659,,,,,,,,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175709,,,,,,,,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175719,-45.248441438161535,526.7381766316248,444.65406290328247,-27.363640242583642,,,,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175729,-45.248441438161535,526.7381766316248,444.65406290328247,-27.363640242583642,24.6,24.56,99632.89,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175739,-45.248441438161535,526.7381766316248,444.65406290328247,-27.363640242583642,24.6,24.56,99632.89,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175749,-45.248441438161535,526.7381766316248,444.65406290328247,-27.363640242583642,24.6,24.56,99632.89,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175759,-34.34930562207228,493.73420552001335,421.0846782370936,-30.905859205176966,24.6,24.56,99632.89,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175809,-35.03050294284549,507.3241027275799,446.6295138172427,-13.331004744543407,24.61,24.53,99626.03,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175819,-18.085751563035046,538.1822347771958,402.48804111797654,-24.12796007433826,24.61,24.53,99626.03,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175829,-18.085751563035046,538.1822347771958,402.48804111797654,-24.12796007433826,24.61,24.51,99627.22,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175839,-39.20282765079719,508.414018440817,410.79860579884553,-17.929076889799944,24.61,24.51,99627.22,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175849,-17.063959134588913,563.1480917145382,421.9361642299191,-38.19465632659558,24.61,24.51,99627.22,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175859,-17.063959134588913,563.1480917145382,421.9361642299191,-38.19465632659558,24.61,24.55,99623.73,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
