time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220420-173721,,,,,,,,0.0,0.1917,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-173731,,,,,,,,0.0,0.1804,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-173741,,,,,,,,0.0,0.1917,2500000000.0,2500000000.0,2500000000.0,0.0,0.0,0.0,0.0,0.0
20220420-173751,,,,,,,,0.0,0.1804,2500000000.0,2500000000.0,2500000000.0,0.0,0.0,0.0,0.0,0.0
20220420-173801,,,,,,,,0.0,0.1917,2500000000.0,2500000000.0,2500000000.0,0.0,0.0,0.0,0.0,0.0
20220420-173811,,,,,,,,0.0,0.1917,2500000000.0,2500000000.0,2500000000.0,0.0,0.0,0.0,0.0,0.0
