time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220420-175316,,,,,,,,0.0,0.1917,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175326,,,,,,,,0.0,0.1917,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175336,-40.73551806982323,535.2530934032984,417.8830579348869,-19.25740988895086,,,,0.0,0.1917,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175346,-40.73551806982323,535.2530934032984,417.8830579348869,-19.25740988895086,,,,0.0,0.1804,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175356,-40.73551806982323,535.2530934032984,417.8830579348869,-19.25740988895086,,,,0.0,0.485,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175406,-40.73551806982323,535.2530934032984,417.8830579348869,-19.25740988895086,24.58,24.53,99626.95,0.0,0.8798,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175416,-17.319406353522027,490.3963599645067,437.1609065856319,-13.63754265071293,24.58,24.53,99626.95,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175426,-33.923559072945864,524.7967465038528,442.2698793860036,-0.08174351473488883,24.58,24.53,99626.95,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175436,-37.84043300925077,475.9209559779265,425.34216504463984,-26.614324966089953,24.58,24.53,99626.95,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175446,-33.49780897110577,532.4602057044103,424.0478688188887,-28.521673911541257,24.58,24.53,99626.95,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175456,-36.90378846954445,502.96443987463135,427.45386963360943,-8.119855898769401,24.59,24.49,99625.8,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175506,-47.462325625247104,511.30905376339797,391.99761658892385,-23.821421279990318,24.59,24.49,99625.8,0.0,0.5865,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-175516,-47.462325625247104,511.30905376339797,391.99761658892385,-23.821421279990318,24.59,24.48,99628.67,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
