time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220221-183629,,,,,,,,0.0,0,,,,,,,,
20220221-183639,,,,,,,,0.0,0,,,,,,,,
20220221-183649,,,,,,,,0.0,0,,,,,,,,
20220221-183659,,,,,,,,0.0,0,,,,,,,,
20220221-183709,,,,,,,,0.0,0,,,,,,,,
20220221-183719,,,,,,,,0.0,0,,,,,,,,
20220221-183729,,,,,,,,0.0,0,,,,,,,,
20220221-183739,,,,,,,,0.0,0,,,,,,,,
20220221-183749,,,,,,,,0.0,0,,,,,,,,
20220221-183759,,,,,,,,0.0,0,,,,,,,,
20220221-183809,,,,,,,,0.0,0,,,,,,,,
20220221-183819,,,,,,,,0.0,0,,,,,,,,
20220221-183829,,,,,,,,0.0,0,,,,,,,,
20220221-183839,,,,,,,,0.0,0,,,,,,,,
20220221-183849,,,,,,,,0.0,0,,,,,,,,
20220221-183859,,,,,,,,0.0,0,,,,,,,,
20220221-183909,,,,,,,,0.0,0,,,,,,,,
20220221-183919,,,,,,,,0.0,0,,,,,,,,
20220221-183929,,,,,,,,0.0,0,,,,,,,,
20220221-183939,,,,,,,,0.0,0,,,,,,,,
20220221-183949,,,,,,,,0.0,0,,,,,,,,
20220221-183959,,,,,,,,0.0,0,,,,,,,,
20220221-184009,,,,,,,,0.0,0,,,,,,,,
20220221-184019,,,,,,,,0.0,0,,,,,,,,
20220221-184029,,,,,,,,0.0,0,,,,,,,,
20220221-184039,,,,,,,,0.0,0,,,,,,,,
20220221-184049,,,,,,,,0.0,0,,,,,,,,
20220221-184059,,,,,,,,0.0,0,,,,,,,,
20220221-184109,,,,,,,,0.0,0,,,,,,,,
20220221-184119,,,,,,,,0.0,0,,,,,,,,
20220221-184129,,,,,,,,0.0,0,,,,,,,,
20220221-184139,,,,,,,,0.0,0,,,,,,,,
20220221-184149,,,,,,,,0.0,0,,,,,,,,
20220221-184159,,,,,,,,0.0,0,,,,,,,,
20220221-184209,,,,,,,,0.0,0,,,,,,,,
20220221-184219,,,,,,,,0.0,0,,,,,,,,
20220221-184229,,,,,,,,0.0,0,,,,,,,,
20220221-184239,,,,,,,,0.0,0,,,,,,,,
20220221-184249,,,,,,,,0.0,0,,,,,,,,
20220221-184259,,,,,,,,0.0,0,,,,,,,,
20220221-184309,,,,,,,,0.0,0,,,,,,,,
20220221-184319,,,,,,,,0.0,0,,,,,,,,
20220221-184329,,,,,,,,0.0,0,,,,,,,,
20220221-184339,,,,,,,,0.0,0,,,,,,,,
20220221-184349,,,,,,,,0.0,0,,,,,,,,
20220221-184359,,,,,,,,0.0,0,,,,,,,,
20220221-184409,,,,,,,,0.0,0,,,,,,,,
20220221-184419,,,,,,,,0.0,0,,,,,,,,
20220221-184429,,,,,,,,0.0,0,,,,,,,,
20220221-184439,,,,,,,,0.0,0,,,,,,,,
20220221-184449,,,,,,,,0.0,0,,,,,,,,
20220221-184459,,,,,,,,0.0,0,,,,,,,,
20220221-184509,,,,,,,,0.0,0,,,,,,,,
20220221-184519,,,,,,,,0.0,0,,,,,,,,
20220221-184529,,,,,,,,0.0,0,,,,,,,,
20220221-184539,,,,,,,,0.0,0,,,,,,,,
20220221-184549,,,,,,,,0.0,0,,,,,,,,
20220221-184559,,,,,,,,0.0,0,,,,,,,,
20220221-184609,,,,,,,,0.0,0,,,,,,,,
20220221-184619,,,,,,,,0.0,0,,,,,,,,
20220221-184629,,,,,,,,0.0,0,,,,,,,,
20220221-184639,,,,,,,,0.0,0,,,,,,,,
20220221-184649,,,,,,,,0.0,0,,,,,,,,
20220221-184659,,,,,,,,0.0,0,,,,,,,,
20220221-184709,,,,,,,,0.0,0,,,,,,,,
20220221-184719,,,,,,,,0.0,0,,,,,,,,
20220221-184729,,,,,,,,0.0,0,,,,,,,,
20220221-184739,,,,,,,,0.0,0,,,,,,,,
20220221-184749,,,,,,,,0.0,0,,,,,,,,
20220221-184759,,,,,,,,0.0,0,,,,,,,,
20220221-184809,,,,,,,,0.0,0,,,,,,,,
20220221-184819,,,,,,,,0.0,0,,,,,,,,
20220221-184829,,,,,,,,0.0,0,,,,,,,,
20220221-184839,,,,,,,,0.0,0,,,,,,,,
20220221-184849,,,,,,,,0.0,0,,,,,,,,
20220221-184859,,,,,,,,0.0,0,,,,,,,,
20220221-184909,,,,,,,,0.0,0,,,,,,,,
20220221-184919,,,,,,,,0.0,0,,,,,,,,
20220221-184929,,,,,,,,0.0,0,,,,,,,,
20220221-184939,,,,,,,,0.0,0,,,,,,,,
20220221-184949,,,,,,,,0.0,0,,,,,,,,
20220221-184959,,,,,,,,0.0,0,,,,,,,,
20220221-185009,,,,,,,,0.0,0,,,,,,,,
20220221-185019,,,,,,,,0.0,0,,,,,,,,
20220221-185029,,,,,,,,0.0,0,,,,,,,,
20220221-185039,,,,,,,,0.0,0,,,,,,,,
