time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220420-155540,,,,,,,,0.0,0.1917,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155550,-45.84448731748125,507.0856445854588,426.7045312644768,-13.67160251675159,,,,0.0,0.1917,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155600,-45.41874076835484,525.7504085420805,407.3245065683295,-19.15523029083488,,,,0.0,0.1804,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155610,-45.41874076835484,525.7504085420805,407.3245065683295,-19.15523029083488,24.3,24.64,99618.27,0.0,0.1917,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155620,-16.89365980439561,482.6648023481539,410.15147189682466,-31.042098669331608,24.3,24.64,99618.27,0.0,0.1917,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155630,-9.485653151841689,487.26286649980466,400.7169138731115,-18.50809283610033,24.3,24.64,99618.27,0.0,0.1917,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155640,-9.485653151841689,487.26286649980466,400.7169138731115,-18.50809283610033,24.31,24.68,99621.67,0.0,0.1015,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155650,-9.485653151841689,487.26286649980466,400.7169138731115,-18.50809283610033,24.31,24.68,99621.67,0.0,0.8798,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155700,-9.485653151841689,487.26286649980466,400.7169138731115,-18.50809283610033,24.31,24.68,99621.67,0.0,0.8911,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155710,-9.485653151841689,487.26286649980466,400.7169138731115,-18.50809283610033,24.31,24.75,99605.22,0.0,1.071,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155720,-32.64631587285294,520.7776894167182,413.5574727115454,-26.750564430244594,24.31,24.75,99605.22,0.0,1.071,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155730,-33.242361752172656,509.776384660654,434.60642018544604,-13.501303186558289,24.31,24.75,99605.22,0.0,0.1917,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155740,-33.242361752172656,509.776384660654,434.60642018544604,-13.501303186558289,24.32,24.75,99618.47,0.0,0.1804,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155750,-33.66810830129907,515.4643645255419,392.20196867972845,-20.653860843822258,24.32,24.75,99618.47,0.0,0.1804,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155800,-19.19269543293467,530.8253321345546,388.89817233211943,-38.36495565678888,24.32,24.75,99618.47,0.0,0.1804,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155810,-19.19269543293467,530.8253321345546,388.89817233211943,-38.36495565678888,24.33,24.7,99614.9,0.0,0.1917,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155820,-48.0583750572805,493.80236077922746,402.52209032587416,-34.51619789984761,24.33,24.7,99614.9,0.0,0.1917,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155830,-38.18103166963738,522.8894224273972,400.68286466521386,-11.798313437338948,24.33,24.7,99614.9,0.0,0.1804,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155840,-38.18103166963738,522.8894224273972,400.68286466521386,-11.798313437338948,24.34,24.71,99612.58,0.0,0.1917,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155850,-19.448144428224623,476.56808987994737,415.3966983722057,-17.826897291683963,24.34,24.71,99612.58,0.0,0.1804,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155900,-41.84246193972285,523.0597253103042,408.8572040927829,-25.72877022544162,24.34,24.71,99612.58,0.0,0.1804,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155910,-41.84246193972285,523.0597253103042,408.8572040927829,-25.72877022544162,24.34,24.7,99613.33,0.0,0.4963,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155920,-45.163289996708045,525.61421171049,414.8176628859801,-39.79546647769894,24.34,24.7,99613.33,0.0,0.4963,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-155930,-45.58903654583446,500.30774900733377,439.1704351291992,-17.52036027369286,24.34,24.7,99613.33,0.0,0.4963,100.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
