time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220420-180008,,,,,,,,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180018,,,,,,,,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180028,,,,,,,,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180038,,,,,,,,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180048,,,,,,,,0.0,0.0789,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-180058,,,,,,,,0.0,0.0902,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
