time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220426-175232,,,,,,,,0.0,0.1804,,,,,,,,
20220426-175242,,,,,,,,0.0,0.1804,,,,,,,,
20220426-175252,,,,,,,,0.0,0.1917,,,,,,,,
20220426-175302,,,,,,,,0.0,0.1917,,,,,,,,
20220426-175312,,,,,,,,0.0,0.1917,,,,,,,,
20220426-175322,,,,,,,,0.0,0.1917,,,,,,,,
20220426-175332,,,,,,,,0.0,0.1917,,,,,,,,
20220426-175342,,,,,,,,0.0,0.1917,,,,,,,,
20220426-175352,,,,,,,,0.0,0.1917,,,,,,,,
20220426-175402,,,,,,,,0.0,0.1917,,,,,,,,
20220426-175412,,,,,,,,0.0,0.1917,,,,,,,,
