time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220420-161701,,,,,,,,0.0,0.4963,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-161711,,,,,,,,0.0,0.485,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-161721,-56.317873031730414,510.08294121857034,430.7917151891161,-20.14296462959919,,,,0.0,0.4963,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-161731,-56.317873031730414,510.08294121857034,430.7917151891161,-20.14296462959919,24.46,24.3,99617.83,0.0,0.4963,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-161741,-27.622494513934726,524.4220915301412,407.7672883795458,-42.24777327976881,24.46,24.3,99617.83,0.0,0.4963,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-161751,-26.26010342510199,491.5543740935391,407.3245065683295,-5.463191232735198,24.46,24.3,99617.83,0.0,0.485,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-161801,-26.26010342510199,491.5543740935391,407.3245065683295,-5.463191232735198,24.46,24.3,99620.45,0.0,0.485,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-161811,-20.384788967930945,511.34315981471445,395.1651592615235,-29.441288518228248,24.46,24.3,99620.45,0.0,0.4963,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-161821,-38.52163033002398,482.56259788104217,418.0874100256915,-5.531310964812519,24.46,24.3,99620.45,0.0,0.485,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-161831,-38.52163033002398,482.56259788104217,418.0874100256915,-5.531310964812519,24.46,24.32,99628.33,0.0,0.4963,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-161841,-50.52771001601286,498.3322696716641,380.92818499535497,-17.55442013973152,24.46,24.32,99628.33,0.0,0.4963,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-161851,-37.58498579031766,512.8417797095608,364.5794777185074,-13.433184342659388,24.46,24.32,99628.33,0.0,0.485,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-161901,-37.58498579031766,512.8417797095608,364.5794777185074,-13.433184342659388,24.46,24.19,99618.58,0.0,0.4963,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-161911,-23.19472258704991,509.23142680403544,393.3259336008632,-6.519045303576831,24.46,24.19,99618.58,0.0,0.4963,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-161921,-37.41468646012436,506.84724328675657,425.64869318084675,-14.727456587593224,24.46,24.19,99618.58,0.0,0.485,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-161931,-37.41468646012436,506.84724328675657,425.64869318084675,-14.727456587593224,24.46,24.19,99618.58,0.0,0.485,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-161941,-29.66608292354067,479.66750571504235,422.8217278523516,-38.841793781330125,24.46,24.19,99618.58,0.0,0.4963,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-161951,-37.84043300925077,503.8840527049615,392.8150533738517,-13.262885012466086,24.46,24.19,99618.58,0.0,0.4963,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-162001,-37.84043300925077,503.8840527049615,392.8150533738517,-13.262885012466086,24.47,24.2,99608.84,0.0,0.485,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-162011,-34.093858403139166,491.89497985935304,381.88184703358274,-30.599320410829023,24.47,24.2,99608.84,0.0,0.485,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
